Feature,Importance
JobLevel,0.14239186
StockOptionLevel,0.06882387
OverTime,0.053481616
Department,0.048935264
MaritalStatus,0.04355039
CompanyHopper,0.042504992
JobInvolvement,0.031831443
YearsWithCurrManager,0.031543523
JobSatisfaction,0.030917747
BusinessTravel,0.029969899
EnvironmentSatisfaction,0.02924439
IsOverduePromotion,0.027363058
NumCompaniesWorked,0.023218526
EngagementScore,0.02306486
Education,0.022706801
RelationshipSatisfaction,0.02162698
YearsSinceLastPromotion,0.020422054
WorkLifeBalance,0.019924957
PromotionDelay,0.018502584
Age,0.01774732
YearsInCurrentRole,0.016095456
SatisfactionIncomeRatio,0.015911605
YearsAtCompany,0.015898518
EducationField,0.015580862
MonthlyIncome,0.015334321
JobRole,0.01492386
TotalWorkingYears,0.0147330295
Gender,0.013740927
DistanceFromHome,0.013433412
DailyRate,0.013188469
HourlyRate,0.013162288
RoleStagnation,0.013094215
WorkloadStress,0.013010739
IncomePerYear,0.012778439
PerformanceRating,0.0113877915
TrainingTimesLastYear,0.010957384
TenureRatio,0.010498492
PercentSalaryHike,0.010280421
MonthlyRate,0.008217577
